FRAME_NR,ROBOT_ID,ROBOT X,ROBOT Y,ROBOT THETA,BALL X,BALL Y,X_MIN,X_MAX,Y_MIN,Y_MAX,VALID
1,0,348.1423645019531,-1587.26220703125,-0.02824915200471878,777.53125,-1577.2725830078125,240,346,300,415,1
2,0,348.574462890625,-1587.1905517578125,-0.025113102048635483,1022.0997314453125,-1381.8773193359375,30,104,200,262,1
3,0,348.052734375,-1586.9442138671875,-0.023493710905313492,1016.4310302734375,-1589.10498046875,282,348,198,265,1
4,0,348.2857360839844,-1587.138671875,-0.03002810850739479,1082.68310546875,-1863.589599609375,579,636,178,238,1
5,0,348.7008972167969,-1587.978271484375,-0.030234508216381073,1348.26513671875,-1360.3172607421875,114,162,141,189,1
6,0,348.8850402832031,-1586.9503173828125,-0.03150631859898567,1326.3846435546875,-1581.5076904296875,288,331,143,192,1
7,0,348.4146728515625,-1587.08935546875,-0.025883520022034645,1333.7900390625,-1844.82958984375,490,535,140,187,1
8,0,348.8374938964844,-1587.294189453125,-0.028102941811084747,1598.89501953125,-1124.611572265625,11,48,122,160,1
9,0,348.62103271484375,-1586.8719482421875,-0.030547892674803734,1583.6951904296875,-1368.6268310546875,160,197,123,162,1
10,0,348.32379150390625,-1587.291259765625,-0.02708233706653118,1537.94921875,-1607.2705078125,306,345,124,165,1
11,0,348.3396911621094,-1587.2799072265625,-0.027633611112833023,1549.33544921875,-1848.20556640625,458,496,123,160,1
12,0,348.89581298828125,-1587.2093505859375,-0.030876310542225838,1577.0386962890625,-2064.730712890625,583,619,118,156,1
13,0,347.9363098144531,-1587.6571044921875,-0.02926471084356308,1796.543212890625,-1148.537353515625,69,100,113,142,1
14,0,348.0396423339844,-1587.14599609375,-0.029598349705338478,1762.980712890625,-1391.6129150390625,192,223,114,142,1
15,0,349.256591796875,-1587.069091796875,-0.027616018429398537,1786.26513671875,-1599.0679931640625,303,335,113,142,1
16,0,348.9229431152344,-1587.244384765625,-0.029139647260308266,1777.1209716796875,-1839.7923583984375,426,457,114,139,1
17,0,348.3910217285156,-1587.12646484375,-0.029750360175967216,1795.4471435546875,-2097.814208984375,555,588,105,139,1
18,0,348.2769470214844,-1587.053955078125,-0.028106961399316788,2044.3431396484375,-1122.5457763671875,96,128,99,124,1
19,0,348.1783142089844,-1587.218994140625,-0.030414685606956482,2049.4912109375,-1345.7489013671875,193,222,101,123,1
20,0,348.1885986328125,-1587.1534423828125,-0.02669825404882431,2028.4901123046875,-1604.728759765625,302,334,101,125,1
21,0,348.39019775390625,-1587.2972412109375,-0.031067539006471634,2030.922607421875,-1843.467529296875,406,442,101,125,1
22,0,347.64910888671875,-1586.6275634765625,-0.030253412202000618,2020.484619140625,-2083.67724609375,514,545,98,126,1
23,0,348.74249267578125,-1586.9530029296875,-0.027234982699155807,2303.617919921875,-889.19091796875,40,68,91,117,1
24,0,348.415283203125,-1587.1480712890625,-0.02635284699499607,2297.41943359375,-1147.4676513671875,135,164,94,117,1
25,0,347.76287841796875,-1586.84619140625,-0.027742451056838036,2297.28662109375,-1355.2203369140625,213,239,94,116,1
26,0,348.099609375,-1587.20654296875,-0.029791392385959625,2256.981689453125,-1620.394775390625,310,340,95,119,1
27,0,348.1748962402344,-1587.5948486328125,-0.029608948156237602,2264.33056640625,-1853.531982421875,396,427,94,117,1
28,0,347.8375244140625,-1587.277099609375,-0.025307876989245415,2233.36572265625,-2081.420166015625,485,516,92,117,1
29,0,348.8344421386719,-1587.472900390625,-0.026763521134853363,2254.146728515625,-2349.46630859375,583,612,90,117,1
30,0,348.5043029785156,-1587.34423828125,-0.028974952176213264,2519.412841796875,-888.8324584960938,70,95,87,110,1
31,0,347.858642578125,-1586.7298583984375,-0.029173076152801514,2496.849609375,-1116.1263427734375,143,171,91,109,1
32,0,348.615478515625,-1587.0157470703125,-0.029383361339569092,2497.773193359375,-1403.4027099609375,235,264,90,109,1
33,0,348.4307861328125,-1587.034423828125,-0.029420210048556328,2526.44580078125,-1681.15966796875,324,354,87,108,1
34,0,348.1633605957031,-1587.00634765625,-0.027593186125159264,2483.264892578125,-1877.7984619140625,390,421,88,111,1
35,0,348.6841125488281,-1587.226806640625,-0.028033286333084106,2484.30908203125,-2111.11767578125,473,503,88,110,1
36,0,348.3062744140625,-1586.957275390625,-0.028779665008187294,2488.08935546875,-2364.945068359375,554,582,86,110,1
37,0,348.53106689453125,-1587.163330078125,-0.027303464710712433,2778.04248046875,-689.2345581054688,41,67,80,107,1
38,0,348.3587646484375,-1587.1732177734375,-0.027950884774327278,2766.535400390625,-938.601806640625,108,138,83,106,1
39,0,348.1138000488281,-1587.2137451171875,-0.027414649724960327,2766.716552734375,-1173.7615966796875,183,204,85,103,1
40,0,348.28118896484375,-1587.0562744140625,-0.027186287567019463,2763.91064453125,-1426.54833984375,249,280,85,103,1
41,0,348.4641418457031,-1587.2833251953125,-0.029165683314204216,2746.40673828125,-1654.115966796875,317,346,85,105,1
42,0,347.9433288574219,-1586.8507080078125,-0.02627399191260338,2753.413818359375,-1918.9559326171875,389,422,82,106,1
43,0,348.2268981933594,-1586.8612060546875,-0.028351210057735443,2748.576904296875,-2149.081298828125,458,485,85,103,1
44,0,348.2138366699219,-1587.199462890625,-0.026070311665534973,2748.167724609375,-2148.731689453125,458,485,85,103,1
45,0,348.3874816894531,-1586.84228515625,-0.03456008806824684,2739.95166015625,-2402.50732421875,533,558,81,103,1
46,0,348.34930419921875,-1586.76806640625,-0.024313360452651978,2743.621337890625,-2635.916259765625,601,627,77,101,1
47,0,348.3036804199219,-1587.274658203125,-0.029426461085677147,3041.884033203125,-696.9580078125,67,96,74,102,1
48,0,348.0189208984375,-1587.3824462890625,-0.030490417033433914,3011.36328125,-953.3178100585938,134,161,84,101,1
49,0,348.2793273925781,-1587.1046142578125,-0.03239750117063522,3006.78173828125,-1166.9453125,192,214,84,98,1
50,0,348.15179443359375,-1587.530517578125,-0.028449757024645805,3001.489501953125,-1430.4869384765625,252,281,83,101,1
51,0,348.5006103515625,-1587.4393310546875,-0.03049822896718979,2970.501220703125,-1672.8486328125,317,350,83,102,1
52,0,348.42352294921875,-1587.4219970703125,-0.025412918999791145,2984.7041015625,-1908.373046875,382,413,79,100,1
53,0,348.86041259765625,-1587.3502197265625,-0.027599280700087547,2988.935546875,-2151.531494140625,445,472,79,99,1
54,0,348.1676330566406,-1587.2083740234375,-0.029457014054059982,2983.085693359375,-2396.8583984375,508,535,78,96,1
55,0,348.09130859375,-1587.0965576171875,-0.030844928696751595,2999.779541015625,-2649.8427734375,571,597,74,99,1
56,0,348.7891845703125,-1587.5064697265625,-0.026021387428045273,3244.20556640625,-683.6605224609375,80,108,74,96,1
57,0,348.2569885253906,-1587.3326416015625,-0.03335099294781685,3236.845947265625,-952.7762451171875,146,172,79,97,1
58,0,347.90191650390625,-1587.2349853515625,-0.028203632682561874,3224.51904296875,-1180.67626953125,203,231,79,97,1
59,0,348.41180419921875,-1587.1630859375,-0.03167009726166725,3223.060791015625,-1447.2685546875,262,289,78,96,1
60,0,347.9931640625,-1587.1864013671875,-0.030170779675245285,3224.897705078125,-1676.325927734375,316,348,78,97,1
61,0,347.9337158203125,-1587.011962890625,-0.02984393760561943,3227.777587890625,-1916.1678466796875,377,407,78,97,1
62,0,348.206298828125,-1586.594482421875,-0.02981667034327984,3234.365966796875,-2162.646240234375,431,458,74,94,1
63,0,348.2031555175781,-1587.2640380859375,-0.02574423886835575,3197.59375,-2414.253173828125,493,520,72,91,1
64,0,348.39752197265625,-1586.7203369140625,-0.031691987067461014,3224.029296875,-2655.2880859375,552,580,75,95,1
65,0,348.0036315917969,-1586.8524169921875,-0.03325902298092842,3202.222412109375,-2795.64794921875,585,614,72,94,1
66,0,348.6783447265625,-1586.975830078125,-0.026720145717263222,3445.69140625,-524.8740234375,62,91,71,95,1
67,0,348.06695556640625,-1587.001708984375,-0.0303326565772295,3468.667724609375,-684.0000610351562,99,126,78,94,1
68,0,348.38330078125,-1587.08837890625,-0.028185667470097542,3457.36279296875,-942.1656494140625,155,179,78,94,1
69,0,348.2920837402344,-1587.011962890625,-0.02769959531724453,3476.908447265625,-1204.468017578125,218,243,76,94,1
70,0,347.733154296875,-1587.5528564453125,-0.02923358418047428,3470.015869140625,-1440.30517578125,264,289,75,93,1
71,0,348.2110595703125,-1587.27197265625,-0.02757585234940052,3477.3916015625,-1679.573974609375,317,346,76,94,1
72,0,348.2793273925781,-1587.1046142578125,-0.03222537785768509,3486.522705078125,-1933.8348388671875,374,403,75,93,1
73,0,348.1662292480469,-1586.6436767578125,-0.02895752340555191,3463.279296875,-2154.9150390625,416,450,73,92,1
74,0,348.6027526855469,-1587.295654296875,-0.03052969090640545,3512.626953125,-2407.616943359375,475,499,71,89,1
75,0,348.508544921875,-1587.5709228515625,-0.02880338951945305,3492.88818359375,-2667.592041015625,529,552,71,92,1
76,0,348.2998352050781,-1587.123779296875,-0.029402803629636765,3476.06982421875,-2871.65673828125,574,603,69,93,1
